"Pago contra reembolso","Cash on delivery"
"Otros: ver la descripción del artículo","Other: see item description"
"Transferencia bancaria","Bank transfer"
"PayPal","PayPal"
"Se aceptan transferencias bancarias","Bank transfers accepted"
"14 días","14 days"
"30 días","30 days"
"60 días","60 days"
"Devoluciones aceptadas","Returns accepted"
"No se aceptan devoluciones","Returns not accepted"
"Comprador","Buyer"
"Vendedor","Seller"
"Económico","Economy"
"Correos: cartas ordinarias","Mail: ordinary letters"
"Correos: cartas certificadas","Mail: certified letters"
"Correos: Paquete Azul","Mail: Paquete Azul"
"Otros (ver descripción)","Other (see description)"
"Envío urgente desde el exterior","Express delivery from abroad"
"EMS Postal Exprés internacional","International Express Service EMS"
"Envío internacional urgente","Express international delivery"
"Estándar","Standard"
"Correos: cartas certificadas urgentes","Mail: express certified letters"
"Correos: Postal 48/72","Mail: 48/72 courier"
"Correos: Postal Exprés","Mail: Postal Exprés"
"Nacex: Pluspack/Plusbag","Nacex: Pluspack/Plusbag"
"Otro courier 48 horas","Other 48-hour courier"
"Express","Express"
"Correos: Chronoexprés","Mail: Chronoexprés"
"Nacex: Siguiente dia laborable","Nacex: next working day"
"Otro courier 24 horas","Other 24-hour courier"
"Ninguno","None"
"Cartas internacionales hasta 20 gr","International letters up to 20g"
"Cartas internacionales de mas de 20 gr","International letters over 20g"
"Otros servicios","Other services"
"Cartas nacionales hasta 20 gr","National letters up to 20g"
"Cartas y tarjetas postales internacionales","International postcards"
"Envío desde el extranjero con seguimiento","Tracked delivery from abroad"
"Envío económico desde el extranjero","Economy delivery from abroad"
"Envío estándar a las islas Canarias","Standard delivery to the Canary Islands"
"Envío estándar a Ceuta/Melilla","Standard delivery to the Ceuta/Melilla"
"Envío estándar desde el extranjero","Standard delivery from abroad"
"Envío internacional económico","Economy international delivery"
"Envío internacional estándar","Standard international delivery"
"Envío urgente desde el extranjero","Express delivery from abroad"
"Paquete internacional económico","Economy international parcel"
"Paquete internacional prioritario","Priority international parcel"
"Paquete Internacional Económico","Economy international parcel"
"Seur Classic","Seur Classic"
"Otros servicios","Other services"
"Recogida local","Local collection"
"Puntos de entrega","Delivery points"
"Entrega a un punto Kiala (hasta 8 kg)","Delivery to a Kiala point (up to 8kgs)"
"Entrega en NACEX.shop","Delivery to NACEX.shop"
"Servicios promocionales","Promotional services"
"A todo el mundo","Worldwide"
"América","America"
"Asia","Asia"
"Canadá","Canada"
"Alemania","Germany"
"Europa","Europe"
"Unión Europea","European Union"
"Francia","France"
"Reino Unido","United Kingdom"
"No hay ninguna ubicación","No location"
"Estados Unidos","United States"
"África","Africa"
"Asia","Asia"
"América Central y el Caribe","Central America and Caribbean"
"Europa","Europe"
"Norteamérica","North America"
"Oceanía","Oceania"
"Sudamérica","South America"
"Oriente Medio","Middle East"
"Sudeste asiático","Southeast Asia"
"Apartado postal","PO box"
"Angola","Angola"
"Argelia","Algeria"
"Benín","Benin"
"Botsuana","Botswana"
"Burkina Faso","Burkina Faso"
"Burundi","Burundi"
"Cabo Verde","Cape Verde"
"Camerún","Cameroon"
"Chad","Chad"
"Comoros","Comoros"
"Congo","Congo, Republic of the"
"Costa de Marfil","Ivory Coast"
"Egipto","Egypt"
"Eritrea","Eritrea"
"Etiopía","Ethiopia"
"Gabón","Gabon"
"Gambia","Gambia"
"Ghana","Ghana"
"Guinea","Guinea"
"Guinea Ecuatorial","Equatorial Guinea"
"Guinea-Bissau","Guinea-Bissau"
"Kenia","Kenya"
"Lesotho","Lesotho"
"Liberia","Liberia"
"Libya","Libya"
"Madagascar","Madagascar"
"Malaui","Malawi"
"Mali","Mali"
"Marruecos","Morocco"
"Mauricio","Mauritius"
"Mauritania","Mauritania"
"Mayotte","Mayotte"
"Mozambique","Mozambique"
"Namibia","Namibia"
"Niger","Niger"
"Nigeria","Nigeria"
"República Centroafricana","Central African Republic"
"República Democrática del Congo","Congo, Democratic Republic of the"
"Reunion","Reunion"
"Ruanda","Rwanda"
"Santa Elena","Saint Helena"
"Senegal","Senegal"
"Seychelles","Seychelles"
"Sierra Leona","Sierra Leone"
"Somalia","Somalia"
"Suazilandia","Swaziland"
"Sudáfrica","South Africa"
"Sáhara Occidental","Western Sahara"
"Tanzania","Tanzania"
"Togo","Togo"
"Túnez","Tunisia"
"Uganda","Uganda"
"Yibuti","Djibouti"
"Zambia","Zambia"
"Zimbabue","Zimbabwe"
"Afganistán","Afghanistan"
"Armenia","Armenia"
"Azerbaiyán","Azerbaijan"
"Bangladesh","Bangladesh"
"Bután","Bhutan"
"China","China"
"Corea del Sur","South Korea"
"Georgia","Georgia"
"India","India"
"Japón","Japan"
"Kazajistán","Kazakhstan"
"Kirguizistán","Kyrgyzstan"
"Maldivas","Maldives"
"Mongolia","Mongolia"
"Nepal","Nepal"
"Pakistán","Pakistan"
"Rusia","Russia"
"Sri Lanka","Sri Lanka"
"Tajikistán","Tajikistan"
"Turkmenistán","Turkmenistan"
"Uzbekistán","Uzbekistan"
"Anguila","Anguilla"
"Antigua y Barbuda","Antigua and Barbuda"
"Antillas Neerlandesas","Netherlands Antilles"
"Aruba","Aruba"
"Bahamas","Bahamas"
"Barbados","Barbados"
"Belice","Belize"
"Costa Rica","Costa Rica"
"Dominica","Dominica"
"El Salvador","El Salvador"
"Granada","Grenada"
"Guadalupe","Guadeloupe"
"Guatemala","Guatemala"
"Haití","Haiti"
"Honduras","Honduras"
"Islas Caimán","Cayman Islands"
"Islas Turcas y Caicos","Turks and Caicos"
"Islas Vírgenes Americanas","US Virgin Islands"
"Islas Vírgenes Británicas","British Virgin Islands"
"Jamaica","Jamaica"
"Martinica","Martinique"
"Montserrat","Montserrat"
"Nicaragua","Nicaragua"
"Panamá","Panama"
"Puerto Rico","Puerto Rico"
"República Dominicana","Dominican Republic"
"San Cristóbal y Nieves","Saint Kitts and Nevis"
"San Vicente y las Granadinas","Saint Vincent and the Grenadines"
"Santa Lucía","Saint Lucia"
"Trinidad y Tobago","Trinidad and Tobago"
"Albania","Albania"
"Alemania","Germany"
"Andorra","Andorra"
"Austria","Austria"
"Bielorrusia","Belarus"
"Bosnia y Hercegovina","Bosnia and Herzegovina"
"Bulgaria","Bulgaria"
"Bélgica","Belgium"
"Chequia","Czech Republic"
"Chipre","Cyprus"
"Croacia","Croatia"
"Dinamarca","Denmark"
"El Vaticano","Vatican City"
"Eslovaquia","Slovakia"
"Eslovenia","Slovenia"
"Estonia","Estonia"
"Finlandia","Finland"
"Francia","France"
"Gibraltar","Gibraltar"
"Grecia","Greece"
"Guernsey","Guernsey"
"Hungría","Hungary"
"Irlanda","Ireland"
"Islandia","Iceland"
"Italia","Italy"
"Jersey","Jersey"
"Letonia","Latvia"
"Liechtenstein","Liechtenstein"
"Lituania","Lithuania"
"Luxemburgo","Luxembourg"
"Macedonia","Macedonia"
"Malta","Malta"
"Moldavia","Moldova"
